Engine_Size_L,Horsepower,Weight_kg,Mileage_km_per_year,Fuel_Tank_Capacity,Age_of_Car,Service_Visits_Per_Year,Fuel_Type,Transmission,Car_Brand,Road_Type,Owner_Type,Fuel_Efficiency_kmpl
3.73,300,958,6941,58.28,12,5,Diesel,Manual,Toyota,Mixed,Second,31.79
4.04,370,1755,9221,75.08,5,2,Diesel,Automatic,BMW,Mixed,Third,27.42
3.38,217,2460,28908,54.77,11,3,Diesel,Automatic,Hyundai,Mixed,Second,29.38
2.89,349,1933,11543,77.07,8,5,Electric,Automatic,Hyundai,Mixed,Third,27.37
2.65,258,1348,27606,74.59,13,3,Petrol,Manual,BMW,Highway,Third,22.87
2.4,383,2349,29964,58.82,4,4,Electric,Manual,BMW,Mixed,Third,30.46
4.72,197,1784,22942,76.69,8,4,Diesel,Automatic,BMW,City,Second,26.28
4.32,76,2170,19012,46.15,13,1,Electric,Manual,Hyundai,Mixed,Third,26.11
4.86,116,2459,7121,48.28,12,3,Diesel,Manual,Honda,City,First,23.62
1.5,122,1078,22412,32.27,11,3,Petrol,Manual,Ford,City,Third,25.58
3.92,256,1278,16726,59.46,9,1,Diesel,Manual,BMW,City,Third,30.41
4.75,107,910,29657,66.1,13,4,Petrol,Manual,BMW,Highway,Second,19.66
1.72,295,2459,10656,68.68,13,4,Electric,Automatic,Hyundai,City,Third,27.43
1.27,122,1230,13967,37.49,8,5,Electric,Manual,Hyundai,City,First,37.65
3.96,293,1341,24422,52.21,1,5,Electric,Manual,Ford,Mixed,First,30.2
3.3,223,1938,20764,38.84,14,4,Diesel,Manual,Toyota,Highway,Third,33.38
4.37,117,1913,20873,63.11,11,2,Petrol,Automatic,Hyundai,Highway,Second,15.66
1.56,216,2035,16079,37.9,8,3,Electric,Automatic,Ford,Highway,First,35.22
4.18,133,2373,23262,75.21,2,5,Electric,Manual,Hyundai,City,Second,26.02
1.81,251,2418,7271,41.53,10,2,Petrol,Automatic,Hyundai,City,Third,16.11
1.65,194,2362,6607,44.57,2,5,Diesel,Manual,Hyundai,City,Second,35.08
1.66,248,1159,24523,72.55,11,1,Electric,Automatic,Honda,Mixed,Third,35.76
4.26,108,2309,20679,52.92,10,3,Diesel,Automatic,Honda,City,Third,26.38
3.66,329,1171,21989,31.2,13,5,Diesel,Manual,BMW,Highway,Second,33.93
3.09,72,2038,26119,54.73,14,4,Diesel,Automatic,Honda,Mixed,First,32.76
2.44,133,1838,8665,34.23,8,1,Electric,Manual,Ford,Mixed,Third,32.72
4.51,98,1754,21308,79.27,14,1,Electric,Manual,Hyundai,Highway,Third,28.7
2.57,80,1058,10852,59.41,6,4,Petrol,Automatic,Honda,City,Third,21.5
4.27,166,1577,10462,42.83,14,1,Petrol,Automatic,Hyundai,Mixed,First,13.21
2.76,272,2286,23528,58.19,13,3,Diesel,Automatic,Toyota,Highway,First,32.52
2.51,90,919,9270,33.84,10,5,Electric,Manual,BMW,City,Third,34.41
2.85,108,1775,20697,69.99,14,1,Diesel,Manual,Honda,Mixed,First,34.78
2.21,292,1712,29491,76.27,7,3,Petrol,Manual,Hyundai,Mixed,Second,21.84
3.99,171,1951,22760,73.72,6,4,Diesel,Automatic,Toyota,Mixed,Second,30.17
3.01,115,1522,8462,47.09,8,5,Diesel,Automatic,BMW,Mixed,Second,33.99
1.93,135,1322,20474,46.29,7,4,Electric,Automatic,BMW,Mixed,Second,36.04
4.6,160,2468,5347,31.75,13,5,Diesel,Automatic,Toyota,City,Third,22.39
2.54,233,1124,21384,62.57,3,1,Diesel,Manual,Honda,Highway,Second,40.63
3.17,180,2143,5062,56.75,1,1,Electric,Automatic,Honda,Mixed,First,28.52
4.63,192,2329,6783,52.97,13,5,Electric,Manual,Hyundai,Highway,Third,24.19
3.5,262,2349,13417,75.38,12,3,Petrol,Manual,Ford,Highway,First,15.59
1.47,168,1873,11566,38.39,10,3,Electric,Manual,Hyundai,Highway,Second,37.13
4.76,360,2407,22426,30.48,4,3,Diesel,Automatic,Hyundai,City,Third,22.65
3.51,228,868,15872,33.67,1,2,Petrol,Automatic,Hyundai,Highway,Third,22.2
2.34,172,1190,20318,41.17,3,3,Petrol,Automatic,Toyota,Highway,Third,25.45
1.56,350,1182,6234,31.66,13,1,Petrol,Automatic,BMW,Highway,Second,22.93
4.18,112,815,6984,55.14,11,2,Petrol,Automatic,BMW,Mixed,First,17.1
3.48,153,2262,22978,45.7,1,3,Diesel,Automatic,Ford,Mixed,Third,31.88
3.13,260,1645,27641,39.02,4,1,Diesel,Automatic,Honda,Highway,First,35.7
4.58,120,1668,6952,67.5,5,2,Diesel,Automatic,Hyundai,City,Second,27.32
4.15,279,1367,23079,40.22,10,1,Diesel,Automatic,Toyota,Mixed,Second,29.71
1.61,195,2440,22338,64.38,0,5,Petrol,Automatic,Toyota,Mixed,First,21.86
2.25,138,931,8291,47.46,14,1,Diesel,Automatic,Hyundai,Highway,Third,39.13
1.99,334,2383,13548,55.59,11,2,Petrol,Automatic,Toyota,Highway,First,18.44
3.98,327,2071,19504,76.69,7,3,Electric,Automatic,Toyota,City,Third,22.94
1.13,257,1072,16787,31.87,1,2,Diesel,Automatic,Hyundai,Mixed,Third,41.82
3.28,299,2446,5968,55.01,13,3,Electric,Manual,Ford,Highway,First,26.75
4.05,258,2172,21625,72.72,4,3,Electric,Manual,Toyota,Mixed,Third,26.63
4.51,79,1283,9234,59.4,10,4,Diesel,Manual,BMW,Highway,Third,33.35
2.37,183,1349,13338,43.84,7,5,Petrol,Automatic,BMW,Highway,Third,23.4
4.29,145,1156,12349,49.88,4,4,Electric,Manual,BMW,City,Second,28.54
1.44,233,2141,18368,64.01,2,2,Diesel,Automatic,Hyundai,Mixed,Third,37.3
4.39,154,2456,26545,74.54,5,4,Electric,Automatic,BMW,Mixed,First,24.8
1.51,118,1871,20201,32.05,0,3,Electric,Manual,Honda,Highway,Second,40.12
2.59,395,1833,21070,33.58,0,2,Diesel,Automatic,Toyota,City,Third,31.82
4.19,246,1032,13734,46.25,7,4,Electric,Automatic,Ford,City,Second,26.44
1.6,287,835,13883,41.64,6,1,Petrol,Automatic,BMW,City,First,23.16
1.92,258,1212,6025,43.25,9,5,Petrol,Automatic,Hyundai,Mixed,Second,21.5
3.89,299,2285,17197,41.06,9,1,Electric,Manual,Ford,Highway,Second,26.99
3.88,324,1827,8359,39.79,10,2,Electric,Automatic,Hyundai,Highway,Third,26.25
3.56,305,843,10257,36.53,10,4,Diesel,Manual,Ford,City,First,31.8
3.78,95,1367,27120,76.7,2,3,Petrol,Manual,Ford,City,First,19.6
3.17,141,2377,29063,37.21,7,4,Electric,Automatic,Toyota,City,Second,27.49
2.01,330,2078,7951,40.22,10,2,Petrol,Manual,Ford,Mixed,Third,18.45
2.38,323,1539,12389,42.31,14,2,Electric,Automatic,Honda,Highway,Second,31.67
1.73,340,913,19666,76.65,7,2,Diesel,Automatic,Honda,City,Second,37.1
4.63,192,1196,19952,67.79,13,2,Diesel,Manual,Honda,City,Second,28.7
3.33,213,1997,23939,69.48,13,4,Petrol,Manual,Hyundai,Highway,Third,18.67
2.6,326,2078,19227,35.24,0,1,Petrol,Manual,Toyota,Mixed,Second,19.31
2.85,213,1265,22534,71.82,9,3,Electric,Automatic,Hyundai,Mixed,Third,32.19
4.79,328,2100,20624,50.41,6,3,Electric,Manual,BMW,Mixed,First,23.2
1.61,116,2287,6735,43.14,1,5,Electric,Manual,Honda,Highway,Second,37.1
3.34,82,1646,29315,58.79,11,2,Petrol,Manual,Toyota,Mixed,First,20.23
3.02,277,1301,22422,71.11,1,2,Diesel,Automatic,Honda,City,Second,33.69
3.45,380,1240,11369,68.93,1,2,Diesel,Automatic,Toyota,Mixed,First,31.88
1.07,304,868,12127,74.5,12,1,Petrol,Manual,Hyundai,Highway,Third,28.0
4.49,218,2332,7912,76.41,4,2,Diesel,Manual,Hyundai,Mixed,Second,27.04
4.73,391,1125,20464,41.91,6,5,Petrol,Manual,Honda,Highway,Second,16.06
3.26,224,866,26224,51.19,3,5,Electric,Automatic,Ford,Highway,Third,35.52
3.79,235,1103,17606,30.73,10,1,Petrol,Automatic,Toyota,Mixed,First,16.86
4.69,159,1771,6242,73.97,11,2,Diesel,Automatic,BMW,City,First,24.97
3.83,255,1283,20636,37.73,3,4,Petrol,Automatic,Ford,Highway,Third,19.38
1.61,387,1728,15108,73.07,8,4,Petrol,Automatic,Hyundai,Mixed,First,20.01
3.31,243,2371,13098,46.47,13,3,Petrol,Manual,Toyota,Highway,Third,16.15
3.43,286,2240,8412,48.41,9,1,Petrol,Manual,Ford,Mixed,First,14.07
2.7,333,1982,23883,31.96,8,4,Diesel,Automatic,BMW,City,Third,30.5
3.95,166,948,16632,46.34,6,3,Electric,Automatic,Ford,Highway,Third,32.4
4.74,186,1850,18231,74.42,13,5,Diesel,Manual,BMW,City,Third,26.0
4.7,268,1786,20183,31.28,14,3,Diesel,Manual,Hyundai,City,Third,25.32
2.8,389,1383,12160,50.32,9,2,Electric,Manual,Toyota,City,First,28.67
1.45,90,1047,27494,31.57,14,2,Diesel,Manual,Hyundai,City,Second,41.12
4.94,269,1924,24929,48.55,3,5,Electric,Manual,Toyota,City,First,23.48
4.36,317,1501,22597,38.63,7,1,Electric,Manual,Ford,Mixed,Third,26.82
1.5,345,895,16123,42.61,9,2,Petrol,Manual,Hyundai,City,Second,23.4
4.68,333,2207,21802,73.88,2,2,Diesel,Manual,Toyota,Mixed,Second,26.96
4.48,127,1081,9960,51.8,2,3,Electric,Manual,BMW,City,First,28.62
3.08,371,1121,5788,43.69,11,3,Diesel,Manual,Toyota,City,Third,31.04
3.37,100,2219,23255,59.47,6,3,Diesel,Manual,Hyundai,Highway,Third,35.32
2.6,318,2101,18350,37.11,12,4,Electric,Automatic,Hyundai,Mixed,Third,27.88
1.22,162,1328,23409,42.97,10,5,Petrol,Automatic,Ford,City,Third,24.2
2.34,334,1062,27648,57.31,11,1,Electric,Automatic,BMW,City,Third,31.62
4.21,340,2442,7446,41.88,8,3,Petrol,Manual,Toyota,City,Second,8.82
1.02,163,1379,28813,63.96,12,1,Electric,Manual,Hyundai,Mixed,First,39.41
2.33,223,2463,26207,54.57,10,3,Electric,Automatic,Toyota,Mixed,First,29.61
2.59,354,2116,21183,68.6,3,2,Petrol,Automatic,Honda,Mixed,First,17.28
3.15,149,1093,13752,77.41,3,1,Petrol,Manual,BMW,Highway,Second,24.16
4.68,361,2431,24035,35.79,0,4,Diesel,Manual,BMW,Highway,Second,28.39
2.39,153,1194,18440,46.73,0,3,Electric,Manual,Honda,City,First,35.63
2.39,106,1312,17096,45.98,12,5,Diesel,Automatic,BMW,Mixed,Second,36.78
3.95,396,1720,21923,37.56,13,2,Diesel,Manual,Honda,Mixed,Second,28.26
2.81,301,1609,11499,70.52,2,3,Petrol,Manual,Toyota,Highway,First,21.63
1.9,162,2003,26139,67.99,11,1,Petrol,Manual,Honda,City,Second,20.87
2.81,171,1719,19767,54.22,12,3,Diesel,Manual,Ford,Mixed,Third,34.62
1.56,235,1492,27343,56.89,6,2,Petrol,Automatic,Honda,Mixed,First,24.2
1.71,228,1034,24673,32.98,12,5,Electric,Automatic,Toyota,City,First,34.6
2.99,83,1751,26930,57.78,14,5,Petrol,Manual,BMW,Highway,First,22.23
2.68,294,2160,16337,69.57,8,5,Petrol,Automatic,Ford,Highway,First,18.27
4.66,142,1831,20819,58.69,3,2,Electric,Automatic,Honda,Mixed,Second,26.17
2.45,318,2266,20784,43.27,1,3,Petrol,Manual,Toyota,City,First,17.68
3.32,160,1338,24142,63.38,5,2,Diesel,Automatic,Ford,City,Third,33.42
3.53,285,1619,10311,48.07,5,2,Diesel,Manual,Ford,City,Second,30.33
1.05,159,2481,16452,57.24,8,3,Diesel,Manual,Ford,Mixed,Second,38.21
3.65,98,1914,25491,54.38,14,4,Petrol,Automatic,Honda,Highway,First,18.05
1.71,374,1071,19574,49.06,3,5,Petrol,Manual,Toyota,Highway,Second,26.61
4.84,289,1828,23279,65.94,7,1,Petrol,Manual,Toyota,Highway,Second,14.53
1.59,397,2417,20952,74.19,12,1,Diesel,Manual,Toyota,Highway,Second,35.46
2.66,284,2042,7500,30.26,13,3,Petrol,Manual,Hyundai,Highway,First,18.47
1.34,290,1941,19718,76.68,12,1,Electric,Automatic,BMW,Mixed,Third,32.94
4.99,111,1392,7829,55.58,2,4,Petrol,Manual,Toyota,Mixed,First,15.41
3.01,204,1775,5047,65.04,1,2,Diesel,Automatic,Hyundai,Highway,Third,35.05
3.38,111,2405,7364,72.78,8,5,Electric,Automatic,Hyundai,Highway,Second,28.67
1.27,233,914,27050,53.36,14,1,Electric,Automatic,Ford,Mixed,Third,37.69
4.0,352,1062,17864,71.75,5,1,Diesel,Manual,BMW,Highway,First,34.06
1.84,127,2129,27842,38.88,10,3,Electric,Automatic,Ford,Highway,First,35.66
4.59,371,2477,13177,37.96,7,3,Electric,Automatic,BMW,Highway,First,22.03
1.82,391,2245,18347,62.87,10,2,Electric,Automatic,Ford,City,Second,27.86
1.76,94,1006,29014,73.51,9,5,Electric,Automatic,Honda,Highway,Third,40.55
1.15,142,2446,12931,74.62,8,1,Electric,Automatic,BMW,City,First,32.25
2.89,198,1102,28442,62.19,0,2,Petrol,Automatic,Hyundai,Highway,First,24.93
3.26,156,911,24186,56.27,12,5,Diesel,Automatic,Hyundai,Highway,First,37.38
1.26,399,2240,17841,46.57,0,2,Diesel,Manual,BMW,Mixed,Second,37.06
4.1,222,2378,16844,79.0,10,1,Petrol,Manual,Ford,Mixed,First,12.7
2.81,251,2108,13594,45.98,4,3,Petrol,Automatic,Honda,Mixed,Second,17.06
3.1,194,2463,18418,67.21,8,3,Diesel,Automatic,Honda,City,Second,28.71
2.76,136,984,7086,56.6,6,3,Diesel,Manual,Toyota,City,First,36.4
2.6,75,1700,28108,60.43,6,4,Petrol,Automatic,BMW,Highway,Second,24.12
3.24,194,1020,15419,49.67,1,2,Petrol,Automatic,Honda,City,Second,19.39
1.62,383,2267,27539,78.24,2,1,Electric,Manual,Ford,Mixed,First,33.43
1.73,395,1940,16602,58.58,3,2,Petrol,Automatic,Ford,City,First,18.31
4.45,122,1893,16182,76.89,1,3,Petrol,Automatic,Hyundai,Highway,Third,16.85
4.78,135,1697,17835,30.38,9,2,Electric,Automatic,Honda,City,First,23.5
2.49,383,1893,22533,58.63,8,5,Electric,Automatic,Honda,Mixed,Third,29.27
2.08,151,1421,21446,65.86,4,2,Diesel,Manual,Ford,Highway,Third,41.84
3.58,156,1226,8153,67.25,12,4,Diesel,Automatic,Hyundai,City,Third,30.47
2.63,71,1443,14200,75.25,6,4,Petrol,Automatic,Honda,Highway,First,23.84
1.1,273,1367,27322,30.22,10,3,Electric,Manual,Ford,Highway,Third,40.12
1.62,219,1242,15223,30.02,8,1,Electric,Manual,Hyundai,City,Third,35.42
3.86,362,1400,15273,53.61,4,5,Diesel,Automatic,Hyundai,Highway,Third,31.98
3.64,172,1960,5751,31.46,14,1,Diesel,Automatic,Ford,City,First,26.95
1.11,93,1303,29160,78.73,5,1,Petrol,Automatic,Hyundai,Mixed,First,28.33
1.89,281,930,13849,41.1,3,5,Electric,Automatic,Hyundai,Mixed,First,36.01
1.92,134,1017,22084,53.63,13,4,Diesel,Automatic,Toyota,City,First,37.72
3.69,278,1487,21220,33.06,7,3,Petrol,Automatic,Hyundai,City,Second,14.65
1.08,320,970,15348,56.1,0,2,Petrol,Automatic,Honda,Highway,First,28.65
1.42,186,2298,22924,49.0,0,4,Petrol,Manual,Hyundai,City,Third,22.82
4.2,185,1411,24416,32.23,4,3,Diesel,Manual,Honda,Highway,First,34.93
1.71,306,1791,11167,46.76,9,4,Diesel,Automatic,Ford,Mixed,Second,34.95
3.61,174,1952,11364,49.57,8,5,Diesel,Automatic,Hyundai,City,Second,28.57
1.95,328,856,6983,79.5,1,1,Diesel,Automatic,Ford,Mixed,Second,38.33
1.4,115,2004,29890,40.39,10,5,Diesel,Automatic,BMW,City,First,37.31
1.97,380,1045,19629,57.24,14,2,Electric,Automatic,Hyundai,Mixed,Second,32.59
3.89,285,943,21288,79.37,2,5,Electric,Automatic,Ford,City,Second,28.77
4.42,370,1874,16273,69.6,7,1,Electric,Manual,BMW,City,Second,22.68
4.32,93,1167,27180,79.67,4,4,Electric,Manual,Honda,Highway,First,33.74
2.59,104,2282,12648,78.41,2,3,Petrol,Automatic,Honda,Highway,Second,21.22
3.67,93,1017,12894,54.48,5,2,Petrol,Automatic,Honda,City,Second,18.3
1.82,97,1415,18305,64.82,5,4,Electric,Automatic,Honda,Highway,Third,38.72
2.17,85,2390,17925,35.52,13,3,Diesel,Manual,Honda,City,Third,33.51
4.59,128,2080,23698,52.06,4,1,Electric,Manual,Toyota,City,Third,25.46
1.05,312,1979,29343,70.45,4,5,Electric,Manual,Ford,Mixed,Second,36.91
1.34,276,2388,15327,55.27,5,4,Petrol,Automatic,BMW,Highway,Third,22.46
1.83,340,1241,23033,65.13,1,3,Diesel,Manual,BMW,Highway,First,41.71
1.11,318,1640,29084,67.29,5,3,Petrol,Automatic,Hyundai,Mixed,Third,24.44
1.73,336,1755,16411,42.67,1,5,Diesel,Automatic,Ford,City,First,35.02
3.33,262,1498,11900,73.78,2,4,Petrol,Automatic,Toyota,Highway,Third,19.65
2.69,287,1675,21137,52.99,1,4,Electric,Automatic,Toyota,City,Third,30.19
4.57,184,2485,8800,40.51,0,1,Diesel,Manual,Ford,Highway,Third,29.45
4.27,137,1575,7478,73.27,11,4,Petrol,Automatic,Honda,Highway,First,15.88
2.37,368,1561,14967,50.89,0,5,Electric,Automatic,Honda,City,First,30.34
2.04,394,1744,15158,67.52,8,4,Petrol,Manual,Ford,City,Third,18.19
2.52,144,1722,12054,57.4,12,1,Petrol,Automatic,BMW,Highway,First,21.06
3.36,172,1734,11059,49.09,3,3,Petrol,Automatic,Honda,Mixed,Third,17.55
2.07,366,824,14959,70.49,4,4,Electric,Automatic,Hyundai,Mixed,Second,34.68
3.5,247,1605,17007,59.22,9,5,Diesel,Manual,Toyota,Mixed,Second,32.24
2.64,284,2487,13433,49.53,13,4,Petrol,Automatic,Honda,Mixed,Second,14.23
3.21,384,2359,11209,35.48,14,2,Electric,Automatic,BMW,Mixed,First,23.3
2.74,108,1563,12115,74.77,6,1,Petrol,Manual,Honda,City,Second,20.16
2.18,328,1883,18068,31.77,14,3,Diesel,Automatic,Honda,Highway,Third,34.48
4.79,273,2290,23640,73.16,1,2,Petrol,Automatic,Toyota,Mixed,Third,11.17
4.05,76,1233,8368,48.0,11,5,Electric,Automatic,Hyundai,Highway,First,30.6
1.56,118,1678,28771,61.97,10,4,Petrol,Automatic,Hyundai,City,Third,22.84
4.47,95,1889,21128,76.11,9,1,Petrol,Manual,BMW,Highway,Second,17.27
2.95,230,1709,29942,37.59,8,4,Diesel,Manual,Ford,City,Third,33.56
4.58,245,1364,7827,58.35,11,4,Diesel,Automatic,Ford,Highway,First,29.35
4.2,148,905,20990,68.22,3,4,Diesel,Manual,Ford,Highway,Third,37.05
2.7,71,895,7487,67.88,9,4,Petrol,Automatic,BMW,City,Third,20.98
1.09,201,2374,24987,56.28,9,1,Electric,Automatic,Honda,Highway,Second,36.28
2.07,345,967,24905,61.24,12,2,Petrol,Manual,Hyundai,City,First,21.5
3.17,186,841,18347,67.88,12,5,Petrol,Automatic,Hyundai,Highway,Second,22.08
3.53,233,903,25901,72.05,0,2,Petrol,Automatic,Honda,Highway,Third,22.95
2.03,357,2027,21277,68.09,7,1,Petrol,Automatic,Hyundai,Mixed,First,18.65
1.56,97,1319,6643,47.7,3,5,Diesel,Automatic,Hyundai,Highway,Third,42.35
4.34,70,1081,22596,79.84,6,3,Diesel,Manual,Ford,Mixed,Third,34.54
4.94,257,1866,28729,51.73,2,2,Diesel,Manual,Ford,Mixed,Second,28.81
3.1,125,1746,26087,31.22,10,1,Diesel,Manual,Toyota,City,Third,33.54
1.69,104,1933,26818,48.13,11,1,Electric,Manual,Toyota,City,First,34.56
2.09,181,2033,5019,36.39,8,1,Petrol,Manual,Hyundai,Highway,First,22.3
1.07,355,1548,5675,36.07,14,5,Petrol,Automatic,Ford,City,Second,19.42
4.66,379,1630,25861,44.08,12,4,Petrol,Manual,Toyota,Mixed,Second,12.01
1.47,105,848,21992,32.67,4,3,Electric,Manual,Toyota,Highway,First,43.44
3.31,286,914,27670,64.43,4,5,Electric,Automatic,Ford,City,Second,30.88
2.1,149,1978,21445,33.7,2,5,Diesel,Automatic,Toyota,City,Third,35.51
3.22,383,2472,14457,40.16,10,2,Petrol,Automatic,Honda,City,First,10.36
3.61,152,1302,6154,34.64,8,3,Petrol,Automatic,Honda,Mixed,Second,17.2
4.32,134,1785,14820,33.16,2,1,Electric,Automatic,Ford,City,First,25.73
1.83,394,870,14818,43.39,1,5,Petrol,Manual,Ford,Highway,Third,26.69
1.04,197,1811,8716,58.59,10,3,Electric,Manual,Toyota,Highway,Second,38.16
1.55,376,2342,10242,78.23,12,2,Diesel,Manual,Hyundai,Highway,First,35.26
4.6,91,2159,26943,73.78,8,4,Electric,Automatic,BMW,Mixed,Third,25.42
4.5,285,866,10022,73.8,11,3,Petrol,Manual,Honda,City,Second,13.73
3.39,176,2316,27869,38.8,11,1,Electric,Automatic,Honda,Highway,First,29.26
3.4,178,2473,22826,43.25,8,5,Electric,Manual,Ford,City,Third,26.5
3.66,250,1766,6653,33.82,9,4,Diesel,Automatic,Hyundai,City,Third,27.61
1.7,233,2036,7502,68.92,11,2,Petrol,Manual,Ford,Highway,Third,22.55
4.66,137,980,24653,33.49,12,1,Petrol,Manual,Toyota,Mixed,Third,17.1
2.68,361,1412,21665,57.83,3,4,Diesel,Automatic,Hyundai,Highway,Third,36.45
2.53,249,2422,19086,42.39,3,2,Electric,Automatic,Toyota,Highway,Second,31.5
3.08,250,1496,8403,42.17,12,1,Electric,Automatic,Honda,Mixed,Third,28.51
1.19,238,1402,6235,79.54,10,5,Petrol,Manual,Ford,City,Second,22.94
1.67,91,1047,26144,67.84,9,2,Electric,Automatic,Ford,City,Second,37.0
3.95,135,2037,18149,71.85,14,4,Diesel,Automatic,BMW,Mixed,First,28.58
1.33,90,1158,19396,58.6,12,1,Petrol,Automatic,Hyundai,Highway,First,28.08
3.41,169,1048,28324,73.55,12,3,Electric,Manual,Honda,Mixed,Second,32.8
1.98,369,1437,19430,62.27,5,1,Diesel,Automatic,BMW,Highway,Third,37.94
2.56,172,1749,22169,77.31,8,4,Diesel,Manual,BMW,Mixed,Third,36.24
2.15,116,2339,18864,44.07,7,4,Petrol,Manual,Ford,City,Second,19.56
2.42,108,1911,20506,59.77,9,3,Petrol,Manual,Hyundai,Mixed,Third,21.56
3.88,354,1462,16509,64.51,2,4,Electric,Automatic,Ford,Mixed,Second,27.27
2.19,379,975,8194,49.65,5,1,Electric,Manual,Hyundai,Highway,First,36.09
3.27,159,1522,9789,73.99,14,2,Electric,Automatic,BMW,Highway,Third,30.65
2.9,154,1225,25159,78.99,12,1,Diesel,Automatic,Toyota,Highway,Third,37.53
3.65,342,2426,15638,54.69,6,4,Diesel,Automatic,Honda,Mixed,Third,26.96
4.75,257,1570,10350,49.53,14,3,Electric,Manual,BMW,Mixed,First,23.8
3.93,228,1502,5533,53.6,14,3,Petrol,Manual,Ford,Highway,Third,16.64
1.86,312,880,29977,72.64,5,5,Diesel,Manual,Honda,City,Second,39.52
1.12,142,1726,8663,62.27,2,3,Diesel,Automatic,BMW,Highway,Third,42.13
2.05,118,937,5129,32.24,13,3,Electric,Automatic,Hyundai,Mixed,Second,34.93
3.38,170,2256,17563,57.11,13,4,Petrol,Manual,Ford,Mixed,Third,15.57
1.21,71,1269,24343,30.87,13,2,Diesel,Manual,BMW,Highway,Second,44.76
2.99,313,1149,6858,68.93,12,2,Petrol,Automatic,Hyundai,Highway,First,19.15
3.39,245,1949,20735,46.42,12,4,Diesel,Automatic,Hyundai,Mixed,Third,29.93
2.34,307,2132,17342,53.6,8,3,Petrol,Automatic,Hyundai,Mixed,First,17.38
4.08,128,2053,8649,69.93,3,1,Petrol,Automatic,Honda,City,First,12.97
1.43,168,2283,15978,32.32,1,2,Diesel,Manual,Ford,Highway,Third,40.81
1.3,71,2168,24481,37.93,8,4,Petrol,Manual,Hyundai,Highway,Third,27.24
3.91,312,1109,24896,49.9,2,1,Diesel,Automatic,BMW,City,Second,31.1
2.98,366,1843,9860,41.5,5,3,Diesel,Manual,Hyundai,Mixed,Third,31.79
3.75,280,2384,14412,46.9,4,4,Petrol,Manual,Ford,Mixed,Third,13.99
2.74,192,1801,13833,79.91,13,2,Diesel,Automatic,Honda,City,Second,30.95
1.99,298,2470,19135,71.27,12,1,Petrol,Automatic,Hyundai,Highway,Second,18.84
4.28,151,2364,5723,74.2,14,1,Diesel,Manual,BMW,Mixed,Third,26.41
4.2,213,2383,5737,76.85,1,2,Petrol,Automatic,Ford,City,Third,10.52
3.78,209,2300,18879,47.05,0,1,Diesel,Manual,Hyundai,City,Third,29.63
2.09,98,1068,6299,44.85,8,2,Diesel,Automatic,Honda,City,First,37.08
3.36,339,1826,24864,41.7,2,4,Electric,Manual,Toyota,Mixed,First,29.72
2.44,316,1569,5339,71.51,6,5,Diesel,Automatic,BMW,Mixed,Third,33.36
1.37,81,815,5152,63.98,8,3,Diesel,Manual,Hyundai,City,Second,41.59
4.67,175,1405,27068,41.81,8,4,Petrol,Automatic,Hyundai,City,Third,13.35
1.55,101,2181,14613,48.85,11,3,Petrol,Automatic,Toyota,Mixed,Third,21.46
4.8,143,2469,18755,55.34,9,3,Petrol,Automatic,Ford,Mixed,First,10.2
2.78,240,1612,20982,56.41,5,2,Petrol,Automatic,Toyota,Mixed,Third,19.45
1.74,138,1956,24435,74.44,7,5,Electric,Automatic,Ford,Mixed,Third,34.74
3.17,370,2135,5426,49.03,8,3,Electric,Manual,Hyundai,Mixed,First,26.21
4.49,206,1281,28530,75.43,2,3,Petrol,Manual,Toyota,City,First,16.39
3.93,169,1694,29509,52.07,5,4,Petrol,Automatic,Hyundai,Mixed,Second,17.03
4.23,215,2367,27731,67.32,4,5,Petrol,Manual,Toyota,Mixed,Second,14.38
3.64,78,2128,14327,76.51,6,5,Petrol,Manual,Hyundai,City,Second,15.81
3.77,131,1068,23756,75.38,6,3,Diesel,Automatic,Hyundai,City,Third,33.06
4.4,254,1213,29510,32.85,8,5,Petrol,Manual,Hyundai,Highway,Second,18.85
2.0,98,824,16521,40.29,0,4,Diesel,Manual,Honda,Mixed,First,43.18
2.96,183,1115,22333,53.85,5,2,Petrol,Manual,Toyota,Highway,Second,24.64
1.88,212,1370,29079,51.58,4,3,Electric,Manual,Honda,Highway,Third,39.57
4.95,189,1524,6373,62.04,3,1,Electric,Automatic,Hyundai,City,Third,23.12
4.78,239,2491,12082,77.24,9,3,Petrol,Manual,BMW,City,Second,8.22
1.16,226,1807,14893,35.62,11,3,Electric,Manual,Ford,Highway,Third,37.75
3.82,329,2099,23866,52.59,10,2,Electric,Manual,Toyota,Highway,Third,27.86
4.7,151,1188,12593,39.62,13,1,Electric,Manual,Toyota,Highway,Third,28.92
1.72,311,1521,14495,74.71,0,1,Electric,Automatic,Ford,Highway,Second,36.72
3.27,241,1243,21754,78.23,3,1,Diesel,Manual,Honda,Mixed,Third,35.8
4.66,300,1798,12837,53.94,9,2,Diesel,Automatic,Ford,Highway,Second,27.64
1.14,277,2250,16172,35.2,10,5,Diesel,Automatic,BMW,City,Second,34.22
3.79,144,1880,23680,69.26,6,1,Diesel,Automatic,Hyundai,Highway,Third,33.48
2.19,339,1496,28418,64.86,3,5,Petrol,Automatic,Ford,Highway,Second,23.55
4.7,183,1770,27708,47.73,0,4,Electric,Automatic,Ford,City,Second,25.39
